address,normal_first_txn_dt,normal_total_transactions,normal_total_count_out,normal_total_count_in,normal_total_sum_out,normal_mean_amt_out,normal_min_amt_out,normal_max_amt_out,normal_total_sum_in,normal_mean_amt_in,normal_min_amt_in,normal_max_amt_in,normal_age_acct_seconds,erc-20-tokens_first_txn_dt,erc-20-tokens_total_transactions,erc-20-tokens_total_count_out,erc-20-tokens_total_count_in,erc-20-tokens_total_sum_out,erc-20-tokens_mean_amt_out,erc-20-tokens_min_amt_out,erc-20-tokens_max_amt_out,erc-20-tokens_total_sum_in,erc-20-tokens_mean_amt_in,erc-20-tokens_min_amt_in,erc-20-tokens_max_amt_in,erc-20-tokens_age_acct_seconds,erc-20-tokens_count_usdt,erc-20-tokens_count_usdc,erc-20-tokens_count_other,erc-20-tokens_sum_usdt,erc-20-tokens_sum_usdc,erc-20-tokens_sum_other,erc-20-tokens_min_usdt,erc-20-tokens_min_usdc,erc-20-tokens_min_other,erc-20-tokens_max_usdt,erc-20-tokens_max_usdc,erc-20-tokens_max_other,erc-20-tokens_mean_usdt,erc-20-tokens_mean_usdc,erc-20-tokens_mean_other,internal_first_txn_dt,internal_total_transactions,internal_total_count_out,internal_total_count_in,internal_total_sum_out,internal_mean_amt_out,internal_min_amt_out,internal_max_amt_out,internal_total_sum_in,internal_mean_amt_in,internal_min_amt_in,internal_max_amt_in,internal_age_acct_seconds
0xa7527105be99b02fe8FC164FaD3eD7a7f9A23eD8,2026-04-30 12:54:23,6,4,2,0.0,0.0,0.0,0.0,0.002444,0.001222,0.001222,0.001222,719568.0,2026-04-30 12:52:11,22,18,4,93478.30956799998,5193.239420444444,0.0,14989.857084,38359.434475999995,9589.858618999999,4189.860154,14989.857084,725880.0,0,14,0.0,0,76718.86895199999,0.0,0,0.0,0.0,0,14989.857084,0.0,0,5479.919210857142,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0
0x51019fcf3b30c30a3559fcd62414c77e077bbcee,2026-04-16 11:22:23,12,6,6,0.0001954015382,3.256692303333333e-05,0.0,9.77007691e-05,0.000640048,0.00010667466666666667,8.0008e-05,0.000160008,444492.0,2026-04-16 01:04:11,10,4,6,3252.0,813.0,527.0,1099.0,4306.0,717.6666666666666,527.0,1099.0,481584.0,10,0,0.0,7558.0,0,0.0,527.0,0,0.0,1099.0,0,0.0,755.8,0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0
0x006429E379d4F7Ba59C1Cf751d720D349313cef1,2022-10-16 12:23:11,138,133,5,0.16521819138928273,0.0012422420405209227,0.0,0.07533005725678646,0.02188124760964759,0.004376249521929517,0.0005,0.01,13596528.0,2022-12-02 00:12:11,2,2,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2022-11-02 20:53:59,10,0,10,0.0,,,,0.559135683050627,0.0559135683050627,0.029992068834423825,0.07236255,10712772.0
0xF221BABEDFebB1048b1d247321976f0B41586601,2025-10-19 11:27:23,143,20,123,0.042964550465505194,0.00214822752327526,0.0,0.0192672752327526,0.04773870768075908,0.0003881195746403177,1e-09,0.019291708423674964,17276664.0,2025-10-01 22:09:59,169,49,120,147189.97536799998,3003.8770483265303,0.0,20000.0,444000000076754.3,3700000000639.619,0.0001,444000000000000.0,18396492.0,0,146,4,0,131908.3603119999,444000000007852.44,0,0.0,444000000003976.25,0,20000.0,444000000003976.25,0,903.4819199452047,444000000003976.25,2026-03-21 11:05:23,38,0,38,0.0,,,,1.4240000000000003e-06,3.747368421052632e-08,1e-09,1e-07,1905312.0
0x96d59504fa235aB669c524fF163DCE91Edd77Db3,2026-02-11 16:33:23,58,9,49,223.1573327528298,24.795259194758867,0.0,48.30830515348866,240.90317364903294,4.916391298959856,1e-18,48.0,9143604.0,2026-02-11 17:41:59,81,53,28,1678003013331959.8,31660434213810.562,0.0,48308305153488.66,245000000002804.0,8750000000100.143,52.0,48000000000000.0,8821044.0,0,11,37,0,3200.0,1005279714309163.5,0,0.0,7000000000100.0,0,1000.0,54308305153588.66,0,290.90909090909093,36099385282189.805,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0
0x658052b5EEc56c6318C4b5033A10F98d4248dB3a,2026-05-07 16:07:11,72,48,24,1.7517335779477554,0.03649444954057824,0.0,0.86,1.7580761358532349,0.07325317232721812,1e-09,0.8706296579266174,2123004.0,2026-05-06 12:41:23,255,160,95,18662613912.371376,116641336.9523211,0.0,6171329438.671042,216000000135184.53,2273684211949.311,0.000109,216000000000000.0,2308824.0,164,0,4,238466.4696060001,0,216000000015000.0,0.0,0,216000000005000.0,14690.878122,0,216000000005000.0,1454.063839060976,0,216000000005000.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0
0x05F0af42ed9F88d3D68D2F2a9d4A7D28af3C5E2b,2025-06-12 11:56:23,2025,1651,374,1.259704304,0.0007629947328891581,0.0,0.5,1.6392016899999997,0.004382892219251336,0.0,0.5455119129079954,5355444.0,,0,0,0,0,,,,0,,,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2026-03-07 18:35:59,109,0,109,0.0,,,,1.0900000000000001e-07,1e-09,1e-09,1e-09,2427180.0
0x9149125f518a4939c8f0eCa568e9e42b96b52417,2023-08-10 18:20:47,2025,1107,918,185.0849626589454,0.16719508821946286,0.0,5.945047624725249,185.62080019979282,0.20220130740718173,0.0012355,5.35081,41849784.0,2023-10-16 20:42:11,2025,1001,1024,2259728245989261.0,2257470775214.047,0.0,2255000000000000.0,1.1034500000081984e+17,107758789063300.62,0.0005,1.08e+17,67232508.0,1339,607,77,1201325.3407659992,439823.9475620002,1.1260467980558197e+17,0.008,0.0,1.103350223909362e+17,23000.0,23750.0,1.103355425436615e+17,897.1809863823743,724.5864045502474,1.103352282984014e+17,2025-09-14 20:17:59,40,0,40,0.0,,,,0.005340037999999999,0.00013350095,1e-09,0.00267,18163164.0
0xa4dc07906094F484D03BB6225DefCcd61E185047,2026-03-16 17:32:59,556,15,541,23.406,1.5604,0.0,11.7,70.34094786000989,0.13002023634012919,0.0,11.964052548245137,6489024.0,2026-03-16 17:31:11,227,187,40,140431000574000.06,750967917508.0217,0.0,11700000000000.0,23399990918841.03,584999772971.0258,0.0001,11699995213887.008,6500628.0,120,4,20,334462.015932,12000.0,23415000379005.0,0.0,3000.0,1000189505.0,50009.270324,3000.0,11700000189505.0,2787.1834661000003,3000.0,1377353130681.4707,2026-03-18 07:58:23,50,0,50,0.0,,,,4.6400002e-07,9.2800004e-09,1e-14,1.1e-07,2302068.0
0xF4e534aF2401F8d2BD335Df651E12f41D99E41B8,2026-03-17 23:55:47,156,44,112,16.312730000000002,0.3707438636363637,0.0,4.56,16.314945098705344,0.145669152667012,1e-09,4.560848643431938,6825396.0,2026-03-21 16:31:23,66,31,35,6663680010828.0,214957419704.12903,0.0,4560000000000.0,42436803011035.055,1212480086029.573,0.00015,10000000000000.0,6508308.0,24,0,14,6254.395196,0,36000000008000.0,0.0,0,18000000001075.0,972.241304,0,18000000001075.0,260.59979983333335,0,18000000001075.0,2026-03-22 23:17:11,26,0,26,0.0,,,,8.2961697286e-08,3.190834511e-09,1e-09,4.560848643e-09,1771500.0
